station_abbr;reference_timestamp;ths200dn;ths200dx;ths200d0;th9120dv;th91dndv;th91dxdv
BER;01.01.2025 00:00;-6;3.2;-2.2;-2.5;-3.3;0
BER;02.01.2025 00:00;-3.8;8;2.8;2.6;-1.1;4.8
BER;03.01.2025 00:00;-5.2;2.2;-1.2;-1.4;-2.5;-1
BER;04.01.2025 00:00;-6.5;0.1;-3;-3.2;-3.8;-3.1
BER;05.01.2025 00:00;0.1;7.8;3.4;3.2;2.8;4.6
BER;06.01.2025 00:00;0.5;10.2;4.6;4.4;3.3;7
BER;07.01.2025 00:00;-0.3;7.3;4.1;3.9;2.5;4.1
BER;08.01.2025 00:00;2.9;11;7.2;7;5.7;7.8
BER;09.01.2025 00:00;0.3;10.6;6.7;6.5;3.1;7.4
BER;10.01.2025 00:00;-0.2;2.3;0.9;0.7;2.6;-1
BER;11.01.2025 00:00;-3.4;2;-0.6;-0.8;-0.6;-1.3
BER;12.01.2025 00:00;-5.2;1.5;-2.3;-2.5;-2.4;-1.8
BER;13.01.2025 00:00;-5.3;-0.7;-3.2;-3.4;-2.5;-4
BER;14.01.2025 00:00;-7.1;-0.6;-4.6;-4.8;-4.3;-3.9
BER;15.01.2025 00:00;-6;5.1;-0.8;-1;-3.1;1.8
BER;16.01.2025 00:00;-0.9;2.4;1;0.8;2;-1
BER;17.01.2025 00:00;-1.5;1.6;0.1;-0.1;1.4;-1.8
BER;18.01.2025 00:00;-4.5;0.4;-1.8;-2;-1.6;-3
BER;19.01.2025 00:00;-3.8;-1.3;-2.6;-2.8;-0.9;-4.7
BER;20.01.2025 00:00;-4.1;2.3;-1.8;-2;-1.2;-1.1
BER;21.01.2025 00:00;-3.8;1.5;-1.9;-2.1;-0.8;-2
BER;22.01.2025 00:00;-2.7;2.8;-0.1;-0.3;0.3;-0.7
BER;23.01.2025 00:00;-0.3;7.6;3.3;3.1;2.7;4.1
BER;24.01.2025 00:00;-1.7;9.6;3.6;3.4;1.3;6.1
