station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
BER;01.01.1864 00:00;6.2;1.4;11.8;-3.1;-3.3;-2.2;;;;;;;;;603.9;59;;;;;;;;;;;;;;;;
BER;01.01.1865 00:00;7.8;2.8;13.4;-1.5;-1.9;-0.6;;;;;;;;;689.7;67;;;;;;;;;;;;;;;;
BER;01.01.1866 00:00;8.3;3.4;13.4;-1;-1.3;-0.6;;;;;;;;;949.2;93;;;;;;;;;;;;;;;;
BER;01.01.1867 00:00;7.5;2.5;12.7;-1.8;-2.2;-1.3;;;;;;;;;1100.5;108;;;;;;;;;;;;;;;;
BER;01.01.1868 00:00;8.5;3.5;13.6;-0.8;-1.2;-0.4;;;;;;;;;947.2;93;;;;;;;;;;;;;;;;
BER;01.01.1869 00:00;7.5;2.6;12.5;-1.8;-2.1;-1.5;;;;;;;;;912.2;89;;;;;;;;;;;;;;;;
BER;01.01.1870 00:00;6.9;1.9;11.8;-2.4;-2.8;-2.2;;;;;;;;;1012.9;99;;;;;;;;;;;;;;;;
BER;01.01.1871 00:00;6.4;1.3;11.2;-2.9;-3.4;-2.8;;;;;;;;;653.7;64;;;;;;;;;;;;;;;;
BER;01.01.1872 00:00;8.4;3.7;13.1;-0.9;-1;-0.9;;;;;;;;;953.8;93;;;;;;;;;;;;;;;;
BER;01.01.1873 00:00;8;3.1;12.6;-1.3;-1.6;-1.4;;;;;;;;;754.6;74;;;;;;;;;;;;;;;;
BER;01.01.1874 00:00;7.5;2.3;12.4;-1.8;-2.4;-1.6;;;;;;;;;907.5;89;;;;;;;;;;;;;;;;
BER;01.01.1875 00:00;7.7;2.9;12.1;-1.6;-1.8;-1.9;;;;;;;;;1105.6;108;;;;;;;;;;;;;;;;
BER;01.01.1876 00:00;7.8;3;12.7;-1.5;-1.7;-1.3;;;;;;;;;1353.9;133;;;;;;;;;;;;;;;;
BER;01.01.1877 00:00;8.1;3.1;13.1;-1.2;-1.6;-0.9;;;;;;;;;1343;131;;;;;;;;;;;;;;;;
BER;01.01.1878 00:00;7.2;2.4;12.1;-2.1;-2.3;-1.9;;;;;;;;;1124.2;110;;;;;;;;;;;;;;;;
BER;01.01.1879 00:00;5.8;1.2;10.7;-3.5;-3.5;-3.3;;;;;;;;;1041.3;102;;;;;;;;;;;;;;;;
BER;01.01.1880 00:00;7.7;2.9;12.9;-1.6;-1.8;-1.1;;;;;;;;;940.9;92;;;;;;;;;;;;;;;;
BER;01.01.1881 00:00;7.4;2.4;12.5;-1.9;-2.3;-1.5;;;;;;;;;943;92;;;;;;;;;;;;;;;;
BER;01.01.1882 00:00;7.5;2.6;12.5;-1.8;-2.1;-1.5;;;;;;;;;1144.6;112;;;;;;;;;;;;;;;;
BER;01.01.1883 00:00;7.3;2.6;12.2;-2;-2.1;-1.8;;;;;;;;;988.5;97;;;;;;;;;;;;;;;;
BER;01.01.1884 00:00;7.9;3.1;13.1;-1.4;-1.6;-0.9;;;;;;;;;778.9;76;;;;;;;;;;;;;;;;
BER;01.01.1885 00:00;7.5;2.6;12.6;-1.8;-2.1;-1.4;;;;;;;;;932.9;91;;;;;;;;;;;;;;;;
BER;01.01.1886 00:00;7.6;2.5;12.6;-1.7;-2.2;-1.4;;;;;;;;;993.5;97;;;;;;;;;;;;;;;;
BER;01.01.1887 00:00;6.2;1;11.2;-3.1;-3.7;-2.8;;;;;;;;;806.9;79;;;120495;112;;;;;;;;;;;;
BER;01.01.1888 00:00;6.4;1.6;11.2;-2.9;-3.1;-2.8;;;;;;;;;1223;120;;;102710;95;;;;;;;;;;;;
BER;01.01.1889 00:00;6.4;1.8;11;-2.9;-2.9;-3;;;;;;;;;994.6;97;;;93722;87;;;;;;;;;;;;
BER;01.01.1890 00:00;6.4;1.5;11.3;-2.9;-3.2;-2.7;;;;;;;;;918.8;90;;;114508;106;;;;;;;;;;;;
BER;01.01.1891 00:00;6.4;1.1;11.5;-2.9;-3.6;-2.5;;;;;;;;;975.4;95;;;112647;104;;;;;;;;;;;;
BER;01.01.1892 00:00;7.4;2.4;12.3;-1.9;-2.3;-1.7;;;;;;;;;741.9;73;;;109385;101;;;;;;;;;;;;
BER;01.01.1893 00:00;7.9;2.6;12.9;-1.4;-2.1;-1.1;;;;;;;;;690;68;;;134953;125;;;;;;;;;;;;
BER;01.01.1894 00:00;7.6;2.7;12.4;-1.7;-2;-1.6;;;;;;;;;759;74;;;112356;104;;;;;;;;;;;;
BER;01.01.1895 00:00;7.2;2.1;12.2;-2.1;-2.6;-1.8;;;;;;;;;954;93;;;120794;112;;;;;;;;;;;;
BER;01.01.1896 00:00;6.9;2.2;11.3;-2.4;-2.5;-2.7;;;;;;;;;1109.2;109;;;91698;85;;;;;;;;;;;;
BER;01.01.1897 00:00;8;3.1;12.7;-1.3;-1.6;-1.3;;;;;;;;;896.6;88;;;101099;94;;;;;;;;;;;;
BER;01.01.1898 00:00;8;3.1;12.7;-1.3;-1.6;-1.3;;;;;;;;;827.2;81;;;102354;95;;;;;;;;;;;;
BER;01.01.1899 00:00;7.9;2.6;13.1;-1.4;-2.1;-0.9;;;;;;;;;793.7;78;;;122172;113;;;;;;;;;;;;
BER;01.01.1900 00:00;8.1;3.2;12.9;-1.2;-1.5;-1.1;;;;;;;;;957.6;94;;;107747;100;;;;;;;;;;;;
BER;01.01.1901 00:00;6.8;1.8;11.8;-2.5;-2.9;-2.2;;;;;;;;;1020.9;100;;;106109;98;;;;;;;;;;;;
BER;01.01.1902 00:00;7.2;2.5;12;-2.1;-2.2;-2;;;;;;;;;1044.7;102;;;95027;88;;;;;;;;;;;;
BER;01.01.1903 00:00;7.2;2.2;12.4;-2.1;-2.5;-1.6;;;;;;;;;978.2;96;;;102334;95;;;;;;;;;;;;
BER;01.01.1904 00:00;8.1;3;13.2;-1.2;-1.7;-0.8;;;;;;;;;881.7;86;;;106050;98;;;;;;;;;;;;
BER;01.01.1905 00:00;7.2;2.3;12.4;-2.1;-2.4;-1.6;;;;;;;;;1261.1;123;;;105750;98;;;;;;;;;;;;
BER;01.01.1906 00:00;7.6;2.6;13.1;-1.7;-2.1;-0.9;;;;;;;;;775.8;76;;;121230;112;;;;;;;;;;;;
BER;01.01.1907 00:00;7.4;2.4;12.5;-1.9;-2.3;-1.5;;;;;;;;;941;92;;;109338;101;;;;;;;;;;;;
BER;01.01.1908 00:00;7;2.2;12.2;-2.3;-2.5;-1.8;;;;;;;;;942.2;92;;;112284;104;;;;;;;;;;;;
BER;01.01.1909 00:00;6.8;1.7;12;-2.5;-3;-2;;;;;;;;;973.5;95;;;110928;103;;;;;;;;;;;;
BER;01.01.1910 00:00;7.4;2.9;12.2;-1.9;-1.8;-1.8;;;;;;;;;1269.2;124;;;98333;91;;;;;;;;;;;;
BER;01.01.1911 00:00;8.4;3;13.7;-0.9;-1.7;-0.3;;;;;;;;;768;75;;;122640;114;;;;;;;;;;;;
BER;01.01.1912 00:00;7.2;2.5;12.1;-2.1;-2.2;-1.9;;;;;;;;;1076;105;;;93546;87;;;;;;;;;;;;
BER;01.01.1913 00:00;7.9;2.9;13;-1.4;-1.8;-1;;;;;;;;;953.6;93;;;93882;87;;;;;;;;;;;;
BER;01.01.1914 00:00;7.3;2.3;12.4;-2;-2.4;-1.6;;;;;;;;;1113.7;109;;;95231;88;;;;;;;;;;;;
BER;01.01.1915 00:00;7.5;2.9;12.2;-1.8;-1.8;-1.8;;;;;;;;;1155.5;113;;;93948;87;;;;;;;;;;;;
BER;01.01.1916 00:00;7.7;3;12.7;-1.6;-1.7;-1.3;;;;;;;;;1272.7;125;;;92657;86;;;;;;;;;;;;
BER;01.01.1917 00:00;6.7;2;11.7;-2.6;-2.7;-2.3;;;;;;;;;946.9;93;;;102684;95;;;;;;;;;;;;
BER;01.01.1918 00:00;7.7;2.6;13.2;-1.6;-2.1;-0.8;;;;;;;;;971.3;95;;;111012;103;;;;;;;;;;;;
BER;01.01.1919 00:00;7.3;2.4;12.2;-2;-2.3;-1.8;;;;;;;;;996.5;98;;;105510;98;;;;;;;;;;;;
BER;01.01.1920 00:00;8.3;2.9;13.3;-1;-1.8;-0.7;;;;;;;;;770.6;75;;;99354;92;;;;;;;;;;;;
BER;01.01.1921 00:00;8.5;2.8;14.3;-0.8;-1.9;0.3;;;;;;;;;725.4;71;;;122597;114;;;;;;;;;;;;
BER;01.01.1922 00:00;7.2;2.2;12.1;-2.1;-2.5;-1.9;;;;;;;;;1309.9;128;;;94367;88;;;;;;;;;;;;
BER;01.01.1923 00:00;8.1;3;13.1;-1.2;-1.7;-0.9;;;;;;;;;1140.8;112;;;102792;95;;;;;;;;;;;;
BER;01.01.1924 00:00;7.2;2.5;11.9;-2.1;-2.2;-2.1;;;;;;;;;885.6;87;;;97715;91;;;;;;;;;;;;
BER;01.01.1925 00:00;7.5;2.8;12.3;-1.8;-1.9;-1.7;;;;;;;;;1012.8;99;;;108569;101;;;;;;;;;;;;
