station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0
BER;01.01.2025 00:00;-4.7;-4.8;-4.5;-4.4;-4.5;99;4.3;-4.8;964.9;1034.8;1030.7;;;3.1;153;1.8;6.5;11.2;3;10.8;;;0;0;0;287;;;;0;0
BER;01.01.2025 01:00;-4.8;-5.1;-4.5;-4.5;-4.6;99.3;4.3;-4.9;964.5;1034.3;1030.2;;;3.2;156;1.8;6.5;11.5;3.1;11.2;;;0;0;0;286;;;;0;0
BER;01.01.2025 02:00;-4.9;-5;-4.7;-4.6;-4.6;99.4;4.2;-5;964.5;1034.4;1030.2;;;2.8;152;1.5;5.4;10.1;2.7;9.7;;;0;0;0;287;;;;0;0
BER;01.01.2025 03:00;-5.1;-5.4;-4.6;-4.8;-5.1;98.4;4.1;-5.3;964.3;1034.3;1030;;;2.8;156;1.8;6.5;10.1;2.8;10.1;;;0;0;0;285;;;;0;0
BER;01.01.2025 04:00;-5.5;-5.7;-5.3;-5.2;-5.3;98.4;4;-5.7;964.1;1034.2;1029.8;;;2.4;152;1.5;5.4;8.6;2.3;8.3;;;0;0;0;283;;;;0;0
BER;01.01.2025 05:00;-5.8;-6;-5.6;-5.5;-5.7;98.2;3.9;-6;964;1034.1;1029.7;;;2.5;157;1.3;4.7;9;2.4;8.6;;;0;0;0;280;;;;0;0
BER;01.01.2025 06:00;-5.6;-5.9;-5.4;-5.4;-5.4;97.2;3.9;-5.9;963.7;1033.7;1029.4;;;2.3;151;1.3;4.7;8.3;2.2;7.9;;;0;0;0;281;;;;0;0
BER;01.01.2025 07:00;-5.8;-6;-5.6;-5.6;-5.7;97.1;3.9;-6.2;963.5;1033.6;1029.2;;;2;156;1.2;4.3;7.2;1.9;6.8;;;0;0;0;277;;;;0;0
BER;01.01.2025 08:00;-5.7;-5.8;-5.4;-5.6;-5.9;95.3;3.8;-6.3;963.3;1033.4;1029;;;2.2;170;1.2;4.3;7.9;2.1;7.6;;;0;0;19;268;;;;0;-0.001
BER;01.01.2025 09:00;-4.9;-5.6;-4.1;-4.2;-5;93;3.9;-5.9;963.4;1033.3;1029.1;;;1.4;159;0.9;3.2;5;1.4;5;;;0;0;118;255;;;;15;0.021
