station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0
CHU;01.01.2000 00:00;-1.5;-1.7;-1.4;-2.4;-2.6;78.7;4.3;;;;;;;2.2;256;0.5;1.8;7.9;;;;;0;;2;;;;;0;
CHU;01.01.2000 01:00;-1.4;-1.4;-1.3;-2.1;-2.2;79.2;4.4;;;;;;;2;225;0.8;2.9;7.2;;;;;0;;2;;;;;0;
CHU;01.01.2000 02:00;-1.4;-1.4;-1.4;-2.1;-2.2;79.1;4.4;;;;;;;1;225;0.5;1.8;3.6;;;;;0;;2;;;;;0;
CHU;01.01.2000 03:00;-1.2;-1.4;-1;-1.9;-2.1;76.4;4.3;;;;;;;0.7;225;0.4;1.4;2.5;;;;;0;;0;;;;;0;
CHU;01.01.2000 04:00;-1.3;-1.4;-1.1;-2;-2.1;77.5;4.3;;;;;;;1;180;0.4;1.4;3.6;;;;;0;;2;;;;;0;
CHU;01.01.2000 05:00;-1.3;-1.3;-1.2;-2.3;-2.6;77;4.3;;;;;;;1.4;45;0.5;1.8;5;;;;;0;;0;;;;;0;
CHU;01.01.2000 06:00;-1.5;-1.6;-1.1;-2.7;-2.9;74.6;4.1;;;;;;;1.9;34;0.6;2.2;6.8;;;;;0;;-2;;;;;0;
CHU;01.01.2000 07:00;-1.8;-2;-1.6;-3.4;-3.8;76;4.1;;;;;;;2.4;37;0.8;2.9;8.6;;;;;0;;4;;;;;0;
CHU;01.01.2000 08:00;-1.9;-2.1;-1.7;-2.9;-3.5;76.4;4.1;;;;;;;2.9;39;0.9;3.2;10.4;;;;;0;;51;;;;;0;
CHU;01.01.2000 09:00;-1.2;-1.5;-1;-0.9;-1.7;74.9;4.2;;;;;;;3.2;40;1;3.6;11.5;;;;;0;;104;;;;;0;
CHU;01.01.2000 10:00;-0.5;-0.8;-0.1;0.4;-0.2;72.8;4.3;;;;;;;3;45;1;3.6;10.8;;;;;0;;133;;;;;0;
CHU;01.01.2000 11:00;0.6;0;1.7;2.4;1.1;70;4.5;;;;;;;2;56;0.8;2.9;7.2;;;;;0;;257;;;;;19;
CHU;01.01.2000 12:00;1.9;1.8;2;3.1;2.7;65.5;4.6;;;;;;;1;342;0.3;1.1;3.6;;;;;0;;330;;;;;60;
CHU;01.01.2000 13:00;1.6;1.3;2;1.7;0.6;66.8;4.6;;;;;;;0.5;225;0.2;0.7;1.8;;;;;0;;157;;;;;13;
CHU;01.01.2000 14:00;1.5;1;1.7;0.8;0.3;69.3;4.7;;;;;;;0.4;207;0.2;0.7;1.4;;;;;0;;79;;;;;2;
CHU;01.01.2000 15:00;1.1;0.5;1.8;-0.3;-1.1;76.5;5.1;;;;;;;0.7;225;0.3;1.1;2.5;;;;;0;;28;;;;;0;
CHU;01.01.2000 16:00;0.8;0;1.1;-0.4;-0.9;80.6;5.2;;;;;;;1;236;0.4;1.4;3.6;;;;;0;;0;;;;;0;
CHU;01.01.2000 17:00;0.9;0.7;1.2;-0.2;-0.4;82.1;5.4;;;;;;;1.4;256;0.5;1.8;5;;;;;0;;-2;;;;;0;
CHU;01.01.2000 18:00;1;0.9;1.1;-0.1;-0.2;84.2;5.5;;;;;;;1.8;259;0.6;2.2;6.5;;;;;0;;0;;;;;0;
CHU;01.01.2000 19:00;1.1;0.9;1.2;0.1;-0.1;83.8;5.6;;;;;;;2.2;270;0.7;2.5;7.9;;;;;0;;-2;;;;;0;
CHU;01.01.2000 20:00;1;0.8;1.2;0.1;-0.1;87.7;5.8;;;;;;;2.6;270;0.8;2.9;9.4;;;;;0;;0;;;;;0;
CHU;01.01.2000 21:00;0.9;0.8;1;-0.1;-0.1;90.4;5.9;;;;;;;3;270;1;3.6;10.8;;;;;0;;-1;;;;;0;
CHU;01.01.2000 22:00;0.9;0.8;1;-0.1;-0.1;91.1;5.9;;;;;;;3.2;270;1.1;4;11.5;;;;;0;;0;;;;;0;
CHU;01.01.2000 23:00;1;0.9;1.2;0;-0.1;90.2;5.9;;;;;;;3.3;264;1.2;4.3;11.9;;;;;0;;0;;;;;0;
CHU;02.01.2000 00:00;1.1;0.8;1.2;0.1;0;90.3;5.9;;;;;;;3.5;253;1.3;4.7;12.6;;;;;0;;-2;;;;;0;
CHU;02.01.2000 01:00;1;0.9;1.1;0.1;0;90.3;5.9;;;;;;;3.6;250;1.4;5;13;;;;;0;;0;;;;;0;
CHU;02.01.2000 02:00;1.1;0.9;1.1;0.1;0;90.3;6;;;;;;;3.7;246;1.5;5.4;13.3;;;;;0;;0;;;;;0;
CHU;02.01.2000 03:00;1.1;0.9;1.2;0;-0.1;91.3;6;;;;;;;3.8;240;1.6;5.8;13.7;;;;;0.2;;-1;;;;;0;
