station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
VIS;01.01.2025 00:00;-7.1;-3.7;-11.6;-5;-4.6;-5.4;92.4;3.3;953.2;;1524.7;;1028.8;1.2;;4.3;;;;;0;0;;11;;;;9;0;;0.2;0;;27.1;19.1;0
VIS;02.01.2025 00:00;-0.4;7.9;-10;-2.3;-0.1;-4.6;80.1;4.8;943.1;;1463.6;;1018.1;1.8;15.3;6.5;55.1;14.7;52.9;0;8;7.2;;42;;;;38;0;;0.5;0;277;20.4;12.4;7.1
VIS;03.01.2025 00:00;1.4;4;-3.5;-0.5;-0.1;-3.2;77.6;5.3;943.8;;1475.7;;1018.8;5.2;14.9;18.7;53.6;14.7;52.9;0;0;0.8;;13;;;;11;0;;0.7;0;278;18.6;10.6;0.7
VIS;04.01.2025 00:00;-3;1.4;-9.1;-4;-0.5;-7.1;79;3.9;944.2;;1464.9;;1019.2;1.1;5.9;4;21.2;5.8;20.9;0;9.8;3.6;;33;;;;30;0;;0.3;0;98;23;15;3.5
VIS;05.01.2025 00:00;4;9.4;0.6;-0.1;0.7;-0.5;83.7;6.7;935.5;;1413.1;;1010;2.9;22.3;10.4;80.3;21.9;78.8;0;0.1;6.3;;35;;;;32;0;;0.8;0;117;16;8;6.3
VIS;06.01.2025 00:00;8.5;10.3;5.3;5.3;8.1;0.3;50.6;5.6;929.6;;1374.9;;1003.7;10.5;22.5;37.8;81;22.1;79.6;20;2;0.2;;39;;;;36;0;;2.7;0;110;11.5;3.5;0.1
VIS;07.01.2025 00:00;4.4;7.7;1.3;2.3;5.6;-0.4;69.1;5.7;934.5;;1406.2;;1008.9;3;14.3;10.8;51.5;14;50.4;0;1.8;1.8;;19;;;;17;0;;1;0;257;15.6;7.6;1.7
VIS;08.01.2025 00:00;3.6;8.2;0.8;2;4.3;0;81.5;6.4;936.1;;1416.9;;1010.6;1.6;7.6;5.8;27.4;7.3;26.3;0;7.1;8.6;;27;;;;24;0;;0.6;0;90;16.4;8.4;8.6
VIS;09.01.2025 00:00;5.4;7.9;1.4;4;7.8;-0.3;85.5;7.6;934.2;;1406.1;;1008.6;2.3;16.6;8.3;59.8;16.1;58;0;1.6;1.9;;41;;;;39;0;;0.4;0;266;14.6;6.6;1.9
VIS;10.01.2025 00:00;1.4;5.4;0;0.8;4.3;-0.5;82.9;5.6;941.3;;1454.6;;1016.1;4.9;18.1;17.6;65.2;17;61.2;0;16.4;12.6;;12;;;;10;0;;1;0;294;18.6;10.6;12.6
VIS;11.01.2025 00:00;0.9;2;0.2;-0.1;0;-0.4;90.8;5.9;944.6;;1480.5;;1019.6;1.1;7.3;4;26.3;7.1;25.6;0;4;7.8;;20;;;;18;0;;0.4;0;279;19.1;11.1;7.8
VIS;12.01.2025 00:00;-3.1;0.3;-8.3;-6.4;-0.1;-13.4;77.9;3.8;954.4;;1547.4;;1030;1.3;5.1;4.7;18.4;5;18;0;0;0;;19;;;;17;0;;0.4;0;103;23.1;15.1;-0.1
VIS;13.01.2025 00:00;-8;-3.8;-13.1;-13.4;-11.8;-14.8;89.6;3;957;;1551.7;;1032.8;1;3.9;3.6;14;3.8;13.7;0;0;0;;13;;;;10;0;;0.3;0;99;28;20;0
VIS;14.01.2025 00:00;-7.9;-3.7;-13.6;-12.4;-10.7;-14.1;93.4;3.2;955.6;;1540.9;;1031.3;0.7;3.8;2.5;13.7;3.7;13.3;0;0;0;;12;;;;10;0;;0.2;0;135;27.9;19.9;0
VIS;15.01.2025 00:00;-7.4;-1.5;-12.2;-11.1;-8.8;-12.9;91.7;3.2;952.2;;1515.8;;1027.8;0.7;2.6;2.5;9.4;2.5;9;0;0;0;;12;;;;10;0;;0.3;0;90;27.4;19.4;0
VIS;16.01.2025 00:00;-7.3;-1.3;-12;-10.9;-6.8;-12.9;90.8;3.2;954.7;;1536.2;;1030.4;0.8;5.3;2.9;19.1;5.2;18.7;0;0;0;;12;;;;10;0;;0.3;0;243;27.3;19.3;0
VIS;17.01.2025 00:00;-7.6;-2.1;-12.7;-11.4;-9.8;-13.3;93.3;3.3;956.5;;1548.9;;1032.2;0.7;3;2.5;10.8;3;10.8;0;0;0;;12;;;;10;0;;0.3;0;135;27.6;19.6;0
VIS;18.01.2025 00:00;-0.6;6.4;-13;-5.9;-1;-12.6;68.5;3.8;951.1;;1529.6;;1026.6;2.7;16;9.7;57.6;15.9;57.2;0;0;0;;13;;;;11;0;;0.8;0;90;20.6;12.6;-0.1
VIS;19.01.2025 00:00;4.8;9.9;-6.7;1.3;6.8;-8.9;63.6;5.3;945.2;;1498.2;;1020.3;6.1;14.5;22;52.2;14.1;50.8;10;0;0;;40;;;;37;0;;1.3;0;115;15.2;7.2;-0.1
VIS;20.01.2025 00:00;6.6;10.2;-0.1;4.7;9.1;-2.1;56;5.3;943.5;;1489.3;;1018.5;5.1;12.7;18.4;45.7;12.6;45.4;310;0;0;;36;;;;32;0;;1.7;0;96;13.4;5.4;-0.1
VIS;21.01.2025 00:00;-0.4;4.6;-3.2;-3.3;0.2;-5.5;85.3;5;941.7;;1452.6;;1016.6;0.9;3.8;3.2;13.7;3.8;13.7;0;0;0;;13;;;;10;11;52;0.5;0;243;20.4;12.4;0
VIS;22.01.2025 00:00;3.1;6.5;-2.8;1;5.6;-4.5;65;4.9;937.8;;1430.5;;1012.5;1.3;7.4;4.7;26.6;7.4;26.6;0;0;0;;30;;;;28;0;0;0.6;0;270;16.9;8.9;-0.1
VIS;23.01.2025 00:00;2.8;4.5;0.1;1.8;3.7;-0.7;87.9;6.6;938.6;;1436.5;;1013.3;0.9;3.8;3.2;13.7;3.7;13.3;0;4.3;4.3;;22;;;;20;0;0;0.4;0;270;17.2;9.2;4.3
VIS;24.01.2025 00:00;3.7;7.5;-0.2;1.2;6.4;-2.6;75;5.9;942.4;;1470.6;;1017.3;1.1;4.1;4;14.8;4.1;14.8;0;0;0;;37;;;;29;33;52;0.6;0;117;16.3;8.3;-0.1
VIS;25.01.2025 00:00;8.3;12.9;1.2;6;11.8;-0.4;48.6;5.2;938.6;;1452;;1013.2;6.2;23;22.3;82.8;22.4;80.6;420;2.8;0;;42;;;;27;68;84;2.4;0;110;11.7;3.7;-0.2
VIS;26.01.2025 00:00;5.6;10.2;2.7;3.9;9.3;-0.2;69.6;6.3;938.4;;1442.6;;1013;3.3;17.1;11.9;61.6;16.9;60.8;70;0;2.8;;49;;;;25;102;91;1.2;0;149;14.4;6.4;2.7
VIS;27.01.2025 00:00;6.8;9.4;3.8;5.8;9;1.2;71.6;7;932.6;;1396.1;;1006.8;5.4;20.8;19.4;74.9;20.4;73.4;120;16.7;2.7;;30;;;;28;0;0;1.3;0;119;13.2;5.2;2.6
VIS;28.01.2025 00:00;3.2;6.4;0.4;2;6.4;-0.1;87.2;6.7;929;;1355.5;;1003;1.6;16.2;5.8;58.3;15.8;56.9;0;2.2;15.2;;38;;;;35;0;0;0.5;0;270;16.8;8.8;15.2
VIS;29.01.2025 00:00;4.5;7.6;3;3.5;10.3;0.1;76;6.4;938.2;;1437.6;;1012.8;3;15;10.8;54;14.3;51.5;0;0.1;1.1;;69;;;;31;207;98;0.9;0;104;15.5;7.5;1
VIS;30.01.2025 00:00;5.9;10.1;-0.8;4.4;10.2;-3.2;61.7;5.6;942.3;;1477.1;;1017.2;5.5;14.7;19.8;52.9;14.3;51.5;440;0;0;;45;;;;42;0;0;1.6;0;106;14.1;6.1;-0.1
VIS;31.01.2025 00:00;3.7;6.4;0;2.9;8.2;-1.6;76.1;6;949.3;;1528.8;;1024.6;1.6;6.6;5.8;23.8;6.5;23.4;0;0;0;;46;;;;42;2;1;0.6;0;256;16.3;8.3;-0.1
VIS;01.02.2025 00:00;2.3;11.6;-3.5;0.4;13.1;-5.3;81.4;5.7;948.4;;1516.8;;1023.7;1.6;11.4;5.8;41;11.2;40.3;80;0;0;;82;;;;25;236;96;0.8;0;248;17.7;9.7;-0.1
VIS;02.02.2025 00:00;0.2;7;-5.5;-2;10.6;-6.9;80;4.8;946.4;;1493.2;;1021.6;0.8;3.3;2.9;11.9;3.3;11.9;0;0;0;;87;;;;19;277;100;0.5;0;180;19.8;11.8;-0.2
