station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0
VIS;01.01.2025 00:00;-8.7;-11.1;-6;-5.2;-5.2;96.6;3.1;-9.2;956.4;;1032.2;;1544.2;;;;;;;;;;0;;2;;;;0;0;
VIS;01.01.2025 01:00;-8.9;-10.8;-6.2;-5.2;-5.2;97.1;3.1;-9.2;956.1;;1031.9;;1541.2;;;;;;;;;;0;;2;;;;0;0;
VIS;01.01.2025 02:00;-8.8;-10.6;-6.2;-5.3;-5.3;93.4;3;-9.7;956;;1031.8;;1541.2;;;;;;;;;;0;;2;;;;0;0;
VIS;01.01.2025 03:00;-8.7;-10.3;-5.1;-5.3;-5.3;96;3;-9.3;955.9;;1031.7;;1540.6;;;;;;;;;;0;;2;;;;0;0;
VIS;01.01.2025 04:00;-7.6;-10.1;-4.9;-5.3;-5.3;91;3.1;-8.9;955.7;;1031.5;;1542.8;0.8;90;0.3;1.1;2.9;0.7;2.5;0;;0;;2;;;;0;0;-0.004
VIS;01.01.2025 05:00;-7.2;-9;-5.6;-5.3;-5.3;93.1;3.3;-8.2;955.6;;1031.3;;1543;0.7;90;0.3;1.1;2.5;0.6;2.2;0;;0;;2;;;;0;0;-0.004
VIS;01.01.2025 06:00;-5.7;-9.9;-3.9;-5.3;-5.3;87;3.5;-7.6;955.5;;1031.2;;1547.3;0.9;108;0.4;1.4;3.2;0.8;2.9;0;;0;;2;;;;0;0;-0.003
VIS;01.01.2025 07:00;-8.1;-10;-6.2;-5.3;-5.4;91.5;3.1;-9.2;955.4;;1031.1;;1538.6;0.7;45;0.2;0.7;2.5;0.6;2.2;0;;0;;2;;;;0;0;-0.004
VIS;01.01.2025 08:00;-7.2;-10.7;-5;-5.3;-5.3;89.1;3.2;-8.7;955.6;;1031.3;;1542.9;1;104;0.4;1.4;3.6;1;3.6;0;;0;;10;;;;7;0;0.006
VIS;01.01.2025 09:00;-7;-9;-4.1;-5.3;-5.3;90.2;3.3;-8.3;955.6;;1031.3;;1544.3;0.7;72;0.3;1.1;2.5;0.6;2.2;0;;0;;25;;;;22;0;0.013
VIS;01.01.2025 10:00;-8;-11.1;-5.5;-5.2;-5.2;92.3;3.1;-9.1;955.6;;1031.3;;1540.4;1.3;72;0.4;1.4;4.7;1.2;4.3;0;;0;;31;;;;29;0;0.015
VIS;01.01.2025 11:00;-6.9;-8.5;-5.9;-5.2;-5.2;92.8;3.4;-7.9;954.9;;1030.6;;1538.4;1.3;63;0.3;1.1;4.7;1.2;4.3;0;;0;;34;;;;32;0;0.017
VIS;01.01.2025 12:00;-6;-10;-4;-5.1;-5.1;90.7;3.6;-7.3;953.7;;1029.3;;1531.9;0.8;270;0.1;0.4;2.9;0.7;2.5;0;;0;;35;;;;32;0;0.019
VIS;01.01.2025 13:00;-7.6;-9.6;-4.6;-5.1;-5.1;97.2;3.4;-7.9;952.6;;1028.1;;1517.8;0.5;0;0;0;1.8;0.4;1.4;0;;0;;34;;;;32;0;0.017
VIS;01.01.2025 14:00;-5.5;-7.9;-3.9;-5;-5;91.8;3.7;-6.6;951.5;;1027;;1516.4;0.8;45;0.2;0.7;2.9;0.7;2.5;0;;0;;31;;;;29;0;0.017
VIS;01.01.2025 15:00;-5.6;-7.9;-4.1;-4.9;-5;93.3;3.8;-6.5;951.1;;1026.6;;1512.7;1.2;45;0.3;1.1;4.3;1.2;4.3;0;;0;;25;;;;22;0;0.013
