station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
VIS;01.01.1980 00:00;-1.9;8.6;-17.3;;;;78.3;4.3;;;;;;2.9;;11.9;;62.1;;;;;474;;;;678.4;;
VIS;01.02.1980 00:00;2.6;14.2;-5.9;;;;72.2;5.2;;;;;;2.4;;9.4;;111.9;;;;;7740;57;;;505.5;;
VIS;01.03.1980 00:00;4.3;15.2;-4.8;;;;69.9;5.7;;;;;;3.1;;13;;156.7;;;;;8724;47;;;488.1;;
VIS;01.04.1980 00:00;6.8;17.8;-4.3;;;;58.3;5.7;;;;;;5.4;;20.9;;8.3;;;;;12090;54;;;397.5;;
VIS;01.05.1980 00:00;11.7;23.2;1.5;;;;64.3;8.4;;;;;;3.6;;14;;21.5;;;;;10128;42;;;172.3;;
VIS;01.06.1980 00:00;14.7;29.6;3.3;;;;65.4;10.6;;;;;;4.4;;16.2;;69.4;;;;;10548;44;;;30.2;;
VIS;01.07.1980 00:00;16;29.4;5.6;;;;72.6;12.9;;;;;;3.5;;13;;51.5;;;;;11676;48;;;8.3;;
VIS;01.08.1980 00:00;18.4;31.6;4.8;;;;73.4;14.9;;;;;;3.3;;13.3;;27.3;;;;;14352;61;;;0;;
VIS;01.09.1980 00:00;14.7;26.5;2.7;;;;74;11.8;;;;;;2.5;;9.7;;18.9;;;;;15252;75;;;8.8;;
VIS;01.10.1980 00:00;7.3;21.2;-2.7;;;;85.1;8.6;;;;;;2.4;;9.4;;102.8;;;;;7224;46;;;372;;
VIS;01.11.1980 00:00;2.3;12.7;-6.3;;;;87.2;6.5;;;;;;2.2;;8.3;;15.1;;;;;1950;;;;529.8;;
VIS;01.12.1980 00:00;-3.1;7.5;-15.6;;;;86.8;4.4;;;;;;3.1;;11.2;;11.3;;;;;0;;;;717.1;;
VIS;01.01.1981 00:00;-4.1;6.7;-18.4;-5.8;-19.9;4.3;86.1;4;;;;;;3.8;21.9;13.7;78.8;59.9;36;;;;1071;62;;0;747.1;499.1;58.7
VIS;01.02.1981 00:00;-2.1;7.3;-15.9;-3.1;-17.3;7.6;78.5;4.1;;;;;;2.1;18.4;7.6;66.2;3;104;;;;7912;66;;0;619.5;395.5;-6.2
VIS;01.03.1981 00:00;6.5;22.1;-2.9;6.2;-5.3;25.7;74.9;7.2;;;;;;3.1;18.5;11.2;66.6;197.3;130;;;;7670;40;;0;403.4;171.4;151.2
VIS;01.04.1981 00:00;10.3;23.4;-4.3;9.9;-8.2;26;64;7.7;;;;;;3;16.2;10.8;58.3;33.3;214;;;;12995;58;;0;219.5;67.5;-27.7
VIS;01.05.1981 00:00;12.4;27.1;1.5;13.1;-1.5;32.2;63.4;8.7;;;;;;3.9;18.1;14;65.2;86.7;226;;;;10739;44;;0.6;138.8;34.8;-6.2
VIS;01.06.1981 00:00;16.2;30.7;2.8;16.9;1.7;35.3;63.2;11.2;;;;;;3.4;18.5;12.2;66.6;39.3;254;;;;13406;56;;15.2;25.8;1.8;-76.6
VIS;01.07.1981 00:00;16.4;29.8;6.3;17.3;5.7;35.1;67.6;12.1;;;;;;3.6;24.3;13;87.5;62.6;224;;;;12009;49;;9.8;21.2;5.2;-43
VIS;01.08.1981 00:00;18;32.3;3.6;18.3;2.4;34.4;63.3;12.3;;;;;;2.6;22.4;9.4;80.6;8.1;238;;;;17335;74;;25.2;0;0;-128.7
VIS;01.09.1981 00:00;14.8;27.6;3.8;14.6;1.8;27.9;74.5;12.2;;;;;;2.8;17.9;10.1;64.4;74.4;129;;;;7499;37;;3.8;47.9;7.9;31.9
